书名,作者,定价,评分,评价人数
最好的我们,八月长安,55元,8.7,73427人评价
骆驼祥子,老舍,12.00元,8.6,212147人评价
水浒传（全二册）,[明] 施耐庵,50.60元,8.7,79691人评价
孙子兵法,孙武,20.00元,9.4,14033人评价
现代艺术150年: 一个未完成的故事,[英] 威尔·贡培兹,65.00元,9.1,15258人评价
庄子,孙通海 译注,20.00元,9.4,12382人评价
银河系漫游指南,[英] 道格拉斯·亚当斯,16.00元,8.8,22880人评价
不存在的骑士,[意] 伊塔洛·卡尔维诺,22.00元,8.9,26282人评价
你一生的故事: 特德·姜科幻小说集,[美] 特德·姜,36.00元,8.8,37391人评价
野火集: 二十年纪念版,龙应台,25.00元,8.7,35433人评价
你好，旧时光（上 下）,八月长安,39.80元,8.7,49970人评价
跨越边界的社区（修订版）: 北京“浙江村”的生活史,项飙,68.00元,9.4,10204人评价
包法利夫人,福楼拜,CNY 28.00元,9.1,24910人评价
坟,鲁迅,16.00元,9.6,12587人评价
论语,刘胜利,9.80元,9.1,24670人评价
显微镜下的大明,马伯庸,52.00元,8.7,48208人评价
会饮篇,[古希腊] 柏拉图,12.00元,9.3,12198人评价
命运,蔡崇达,59.80元,8.9,29769人评价
规训与惩罚: 监狱的诞生,[法] 米歇尔·福柯,21.80元,9.3,11290人评价
二手时间,[白俄] S. A. 阿列克谢耶维奇,55.00元,8.9,25949人评价
挽救计划,[美] 安迪·威尔,68.00元,9.1,13014人评价
火星救援,[美] 安迪·威尔,38.00元,8.9,20776人评价
象棋的故事,[奥] 斯蒂芬·茨威格,23.00元,9.1,13331人评价
分成两半的子爵,[意] 伊塔洛·卡尔维诺,20.00元,8.8,29846人评价
奥斯维辛: 一部历史,[英] 劳伦斯·里斯,79.00元,9.5,10284人评价
认识电影: 插图第11版,[美] 路易斯·贾内梯,68.00元,8.9,18788人评价
金锁记,张爱玲,13.5元,8.6,64044人评价
时间的秩序,[意] 卡洛·罗韦利,56.00元,8.9,22873人评价
黑箱：日本之耻,[日] 伊藤诗织,48.00元,8.9,23836人评价
解忧杂货店,[日] 东野圭吾,39.50元,8.5,764644人评价
哈姆莱特,[英] 莎士比亚,7.00元,8.7,51342人评价
毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆,36.00元,9.1,12970人评价
众病之王: 癌症传,[美] 悉达多·穆克吉,42.00元,9.0,13601人评价
顾城的诗,顾城,20.00元,8.8,26898人评价
总统是靠不住的: 近距离看美国之二,林达,21.80元,8.8,21420人评价
上学记,何兆武 口述,19.80元,8.9,14225人评价
