num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe,total,gender
238,4,81.5,95,80,61.6,34.75,42,43.5,32.5,42,56,568.85,女
170,3,83.5,95,86.5,58.8,23.75,41.5,48,37,46.5,48,568.55,女
104,2,87.5,88,86,49.7,32.75,44.5,44,34.5,45,56,567.95,女
219,4,75,109,86,58.1,32.5,35.5,45,31.5,46,48,566.6,女
358,6,93.5,91,88.5,40.6,40,41.5,42.5,34,43,52,566.6,女
574,9,85.5,90,88.5,56.7,28.25,44,45,32.5,44,52,566.45,女
546,9,83,100,90,46.2,29,43.5,42,32,44.5,56,566.2,女
607,10,77.5,96,89.5,51.1,27.5,43.5,44,36,45,56,566.1,女
273,5,68.5,112,82,63.7,26.5,31.5,44,34,47.5,56,565.7,男
160,3,78,105,79,63.7,37.5,31,44.5,27,44,56,565.7,男
521,9,74.5,101,88.5,54.6,26.5,41.5,46,31,46,56,565.6,男
363,6,86,91,85,51.8,29.5,45.5,34,42.5,44,56,565.3,男
268,5,76,108,51,60.9,43.25,40,43.5,41,45.5,56,565.15,男
110,2,93,93,86,51.1,28.5,41.5,44.5,36,43.5,48,565.1,男
412,7,78.5,94,79.5,52.5,42,39,43,37,43,56,564.5,男
254,4,83,100,79,49.7,37.75,40,39.5,33.5,46,56,564.45,男
30,1,75,83,91,51.1,34.5,40,45,41,47.5,56,564.1,男
328,6,83,103,67.5,55.3,33,42.5,41,41.5,45,52,563.8,女
543,9,79.5,84,97,50.4,32.25,40.5,41,34.5,43,60,562.15,女
306,5,80.5,93,89.5,52.5,32.75,42.5,41.5,32,40.5,56,560.75,女
533,9,78,94,90,65.1,39.75,30.5,46,29.5,39,48,559.85,女
594,10,78.5,85,86,58.1,41.25,35,44.5,32.5,42.5,56,559.35,男
324,6,80,87,92.5,57.4,30.75,41.5,45,32.5,44.5,48,559.15,女
482,8,88.5,91,78,52.5,33,45.5,39,37.5,45.5,48,558.5,女
647,7,82,88,83.5,53.9,31.25,43.5,42.5,38,47,48,557.65,女
147,3,77.5,90,95,49.7,30.5,42,44,31.5,44.5,52,556.7,男
18,1,80,90,86,53.9,35.25,40.5,44,33.5,41.5,52,556.65,男
313,5,95,111,67.5,45.5,20.5,39,43.5,38.5,42.5,52,555,男
591,10,91,74,83,50.4,37,43,44.5,37.5,45.5,48,553.9,男
367,6,92,83,95.5,55.3,24.75,41,39,31.5,43.5,48,553.55,女
234,4,82.5,95,82.5,49.7,29.25,40.5,42,38.5,45,48,552.95,男
230,4,87,80,72.5,57.4,30.75,46.5,41.5,37,48,52,552.65,女
88,2,74,89,86.5,54.6,31.75,38.5,47.5,31,43,56,551.85,女
595,10,65,101,80.5,61.6,38.75,37,42,31.5,46,48,551.35,男
195,4,85.5,94,81,47.6,30.75,42,36.5,35,41.5,56,549.85,女
72,2,75,84,76,60.9,31,44,43.5,35.5,43.5,56,549.4,男
361,6,89.5,82,98.5,40.6,27.25,41.5,43,34,45,48,549.35,男
346,6,87,78,71,58.8,29.5,39.5,45.5,36.5,47.5,56,549.3,男
251,4,83.5,90,85,46.9,25.5,44.5,39,33.5,45,56,548.9,女
527,9,80,75,79,56,29.75,45.5,44.5,43,48,48,548.75,女
494,8,81.5,93,73.5,50.4,34.25,40.5,39.5,33.5,42.5,60,548.65,男
639,10,79,75,94,53.2,28,42.5,41,36.5,42.5,56,547.7,女
421,7,85,77,78,52.5,32.75,39.5,42,39,40,60,545.75,男
466,8,84,90,65,55.3,30.75,43.5,40,37.5,43,56,545.05,男
75,2,76.5,97,55.5,58.1,42,43,42.5,36.5,45,48,544.1,男
83,2,72,89,61,52.5,36.5,44.5,46.5,40.5,45.5,56,544,女
449,8,77,98,69,51.8,26.5,43.5,42.5,38,45.5,52,543.8,男
157,3,76,86,82.5,39.2,26.75,45,45,40,46,56,542.45,男
453,8,76.5,107,65,60.2,45.25,28.5,36,35,39.5,48,540.95,男
523,9,79,76,85.5,51.1,25.5,41.5,44,43,46.5,48,540.1,女
456,8,85,89,59.5,56,36.75,41,43,27.5,44,56,537.75,男
485,8,93.5,72,76.5,42.7,31,46,42,40.5,41.5,52,537.7,男
601,10,78.5,90,87.5,51.1,33,36,34,30.5,45,52,537.6,男
316,5,91,98,60,54.6,17.75,44.5,40,33.5,42,56,537.35,男
294,5,88,87,75,51.1,29.75,40.5,40,36,41.5,48,536.85,女
415,7,76,90,62,53.2,31,39,44.5,43.5,45.5,52,536.7,女
634,10,78,85,73.5,47.6,35.25,41.5,46,33,44.5,52,536.35,女
596,10,80.5,80,77,48.3,40.5,37.5,37.5,35.5,43.5,56,536.3,女
493,8,83.5,95,72.5,52.5,24.5,36.5,40,35.5,44,52,536,女
182,3,80.5,93,63,51.1,30,49,38,33.5,41.5,56,535.6,女
272,5,71.5,99,77,57.4,37.25,33.5,43,27,41.5,48,535.15,女
510,8,84,99,71.5,40.6,29.5,40,43.5,32,44,48,532.1,女
62,1,79.5,79,93,48.3,26.25,41.5,36.5,32.5,35,60,531.55,女
237,4,79,96,71,55.3,26,39.5,40,26.5,42,56,531.3,女
477,8,79,87,67,54.6,27,42.5,38,36.5,38.5,60,530.1,男
571,9,82.5,70,89,50.4,22,45.5,38.5,32,44,56,529.9,女
66,2,84,82,82.5,54.6,22,42.5,38.5,29.5,41,52,528.6,男
44,1,82,73,86.5,51.8,28,42.5,38,26.5,43,56,527.3,男
302,5,84,78,64.5,52.5,24.75,44.5,42,36,45,56,527.25,男
492,8,68.5,93,94.5,42.7,31,41,37.5,27,43.5,48,526.7,女
540,9,79,91,64.5,52.5,31.75,38,40,34.5,39,56,526.25,女
547,9,73.5,83,63,53.9,36.5,42.5,42,30,45.5,56,525.9,男
89,2,79.5,104,39,58.8,31,44.5,41.5,32,43.5,52,525.8,男
329,6,80.5,79,62.5,57.4,33.25,40.5,41,34,41,56,525.15,男
274,5,76.5,94,68.5,44.8,30.25,45,39.5,33.5,41,52,525.05,男
282,5,71.5,92,59.5,55.3,33.25,38,43.5,33,46.5,52,524.55,女
566,9,89,96,83,42,16.75,36.5,36,24.5,40.5,60,524.25,女
518,9,82,79,69,40.6,34.25,38,40,38.5,46.5,56,523.85,男
370,6,86,76,81,38.5,27.75,41,44,29,43.5,56,522.75,男
460,8,76,84,56,56,34.5,34.5,42,37,46.5,56,522.5,男
474,8,70.5,96,62,55.3,34.75,39.5,41.5,31.5,43,48,522.05,女
642,1,54.5,91,71.5,55.3,32.75,44.5,39.5,31.5,41.5,60,522.05,女
192,3,72.5,80,90,38.5,27.25,41,41.5,33.5,45.5,52,521.75,女
599,10,79.5,88,53.5,54.6,36.75,33.5,40,36,43.5,56,521.35,女
217,4,77.5,104,55.5,51.1,27.5,39,36,39,42.5,48,520.1,女
250,4,82.5,87,78,39.9,25.25,39.5,39.5,33.5,42.5,52,519.65,男
396,7,80.5,90,67.5,45.5,23.5,42,42,33.5,43,52,519.5,女
308,5,83.5,94,74.5,45.5,14,45.5,38,36.5,39.5,48,519,男
443,7,82.5,72,82,44.8,25.75,43.5,40,36,43,48,517.55,女
488,8,89.5,78,70.5,42,25.75,39.5,40,31,44.5,56,516.75,女
473,8,80,89,63.5,44.1,25.75,45.5,42,30,42.5,52,514.35,女
41,1,85.5,69,70.5,49,27.5,47,42.5,32,38.5,52,513.5,女
469,8,78,66,77,56,27.5,37.5,39,35.5,48,48,512.5,男
277,5,78,90,34,59.5,30,42,43,36.5,43.5,56,512.5,男
557,9,86.5,81,84.5,42.7,21.75,43,33,32.5,31,56,511.95,女
418,7,88,90,72,25.2,24.75,36,42,38.5,43,52,511.45,女
525,9,57,88,55.5,57.4,35.25,39,41.5,40.5,44.5,52,510.65,女
51,1,79.5,83,75.5,43.4,21.75,46.5,39.5,30,43.5,48,510.65,男
99,2,78.5,80,83,36.4,34.75,43,32.5,31,34.5,56,509.65,男
398,7,79,81,81.5,46.2,26,29.5,42,27,45,52,509.2,男
29,1,72,58,99,52.5,16,42.5,37,29,46.5,56,508.5,男
600,10,74,63,75,53.2,38.25,30.5,41.5,39.5,42.5,48,505.45,男
196,4,70.5,89,54,46.9,39.25,36,42,36.5,43,48,505.15,女
478,8,79,85,47,51.1,29.5,39.5,43,27.5,43,60,504.6,男
214,4,75,107,54,46.2,19.5,38,39.5,33,43.5,48,503.7,男
124,2,79.5,72,74.5,42,30.5,40.5,38,34,40,52,503,女
331,6,78.5,95,58.5,44.8,21.25,41.5,38,24,43,56,500.55,男
129,3,82,71,81,34.3,19.25,46,39.5,30,44.5,52,499.55,女
535,9,79.5,67,71.5,45.5,33.25,41,38,30.5,41,52,499.25,男
280,5,83,78,57,46.2,18,39.5,42.5,39.5,46.5,48,498.2,男
622,10,89,72,88,44.1,21.75,34,30.5,24,38.5,56,497.85,女
374,6,86,86,63.5,44.8,19,42,34.5,23.5,38.5,60,497.8,女
617,10,72,83,79,42,32.25,38.5,33,19.5,42,56,497.25,女
114,2,88.5,61,58,42.7,23.5,46,40.5,38.5,46,52,496.7,男
175,3,78,76,64,46.9,26.5,45.5,38,24,41.5,56,496.4,男
401,7,83.5,67,65.5,41.3,25.5,43.5,43,30.5,40.5,56,496.3,女
387,7,71,74,69,51.1,24,33.5,47,28.5,39.5,56,493.6,女
116,2,73.5,75,88,37.1,20.75,39.5,32.5,37,36,52,491.35,男
582,10,70.5,97,74,38.5,28.25,33,37,22,38.5,52,490.75,女
336,6,69.5,97,83,49,24.5,34.5,34,13.5,34.5,48,487.5,男
480,8,80.5,72,77.5,39.2,30.5,42,37,23,37,48,486.7,女
241,4,85,82,76.5,28,21.25,39.5,40,22.5,35.5,56,486.25,男
135,3,77.5,63,65,46.9,23.5,40.5,39,28.5,42,56,481.9,女
457,8,79,96,64.5,39.9,19,31.5,33,29.5,40,48,480.4,女
9,1,80,73,53.5,42.7,24,44,41,27.5,42.5,52,480.2,男
6,1,87,65,76.5,32.2,14.75,39,36.5,35,40.5,52,478.45,男
541,9,85,68,80.5,37.8,23.25,41.5,32.5,22,38.5,48,477.05,女
87,2,59.5,100,57,49.7,26,37.5,33,23.5,38.5,52,476.7,女
377,6,87,73,71,32.2,20.75,37.5,39,25,41.5,48,474.95,女
524,9,68,82,45.5,52.5,37.25,37,34,21.5,41,56,474.75,女
357,6,73,69,60,37.1,29,32.5,43.5,33.5,43,52,472.6,男
447,7,84.5,67,52,38.5,20.75,42.5,40.5,26,43,56,470.75,女
404,7,78,69,59.5,36.4,22.5,39,43,35,40,48,470.4,男
381,6,79.5,68,47.5,44.1,37,34.5,40.5,24.5,42,52,469.6,女
107,2,75,56,55.5,49.7,24.75,36.5,40,39,43.5,48,467.95,女
578,10,80.5,56,65,45.5,23.25,42.5,37,21,39,56,465.75,女
191,3,85,47,70,49.7,16,41.5,36.5,32.5,39.5,48,465.7,女
148,3,69.5,75,56.5,40.6,22.25,34,40,34,45.5,48,465.35,男
436,7,68,70,88.5,39.9,18.25,42.5,32.5,22,27.5,56,465.15,男
637,10,72,82,52,37.8,20.5,39.5,37.5,28,44.5,48,461.8,男
179,3,73.5,77,74,32.9,19.5,39.5,37.5,20.5,38,48,460.4,女
584,10,69,59,56.5,40.6,30.75,34.5,39,38,45,48,460.35,男
91,2,69.5,57,63,41.3,27.5,38,38,32,40.5,52,458.8,男
513,9,72,69,74,34.3,22.75,36,32.5,22.5,39,56,458.05,男
425,7,89,69,38.5,32.2,23,45,40,24.5,40,56,457.2,女
348,6,64.5,84,44,46.9,26.25,42.5,38,23.5,39.5,48,457.15,女
414,7,80.5,45,82,32.9,18.75,36,37,32,39.5,52,455.65,女
90,2,76,85,24,38.5,15.75,43.5,38,31,42.5,60,454.25,女
536,9,75,64,47,46.2,31,33.5,41,21.5,43,52,454.2,男
184,3,77,60,65.5,37.8,17.25,39,35,31,35,56,453.55,女
185,3,73.5,53,72.5,31.5,17,40,35.5,30,43,56,452,女
575,9,77.5,65,57,25.9,18.25,47.5,31.5,28,41,60,451.65,女
74,2,77,60,65.5,36.4,30.25,33,31,26.5,36,56,451.65,女
317,5,79.5,70,55,28.7,21.75,41,36,30,33.5,56,451.45,男
359,6,74.5,75,56,28,26.75,37,39,26,39,48,449.25,男
37,1,72.5,58,73,39.2,11.25,42.5,34.5,31.5,32,52,446.45,女
26,1,82.5,62,56.5,42,19,32,32,32,36,52,446,女
1,1,74.5,59,72,37.1,17.25,37.5,33.5,29,33.5,52,445.35,男
71,2,71.5,63,46,36.4,22.25,42.5,39,31,40.5,52,444.15,女
245,4,64,74,55,48.3,23.75,36,29,20.5,33.5,60,444.05,女
446,7,82.5,38,76.5,28,18,43.5,34.5,36.5,38.5,48,444,男
199,4,64.5,83,40.5,32.9,32.5,31.5,38.5,30,41,48,442.4,男
659,10,74,70,62.5,32.9,10.5,38,29,26.5,42.5,56,441.9,男
405,7,75.5,47,61,26.6,22,39.5,34.5,38.5,45,52,441.6,女
105,2,78.5,58,73,28,17,44,32,25.5,33,52,441,男
125,2,73.5,73,49.5,34.3,21,40,36,24,32.5,56,439.8,男
555,9,77,57,58,34.3,26,35.5,39,20,37,52,435.8,男
619,10,78.5,65,43.5,35,17.75,42,31.5,30,35,52,430.25,女
567,9,70.5,72,41.5,44.1,18,39.5,36.5,22.5,36,48,428.6,男
410,7,72.5,60,53.5,26.6,21.75,36,39,20.5,38,60,427.85,女
627,10,75.5,49,58.5,18.2,18.5,38.5,45.5,31.5,43.5,48,426.7,女
315,5,75.5,59,47,25.9,17,42.5,32,31.5,36,60,426.4,男
270,5,66,74,39,42,22.5,33,40.5,22,38.5,48,425.5,女
621,10,72.5,42,41,36.4,17.5,39,38,36,42,56,420.4,男
356,6,71,59,57,32.9,22,39,31.5,19,32.5,56,419.9,女
369,6,83.5,59,36,31.5,24.25,36,27.5,26,36,60,419.75,女
139,3,70,60,27.5,46.9,32,32,35,34,33.5,48,418.9,男
378,6,79,47,43.5,31.5,20,40,36.5,26,42.5,52,418,女
454,8,68,66,44.5,41.3,10.25,31,32.5,25.5,46,48,413.05,女
471,8,71,71,30.5,43.4,16.25,26.5,33.5,28.5,41.5,48,410.15,女
636,10,76.5,35,36.5,39.9,26.75,37.5,38,23.5,44.5,48,406.15,女
325,6,70,87,29.5,20.3,16,23,44,17,42.5,56,405.3,男
263,5,69,70,28,49,22.5,29.5,34,20,31,52,405,男
444,7,79.5,47,46,22.4,20,33,37.5,26.5,37.5,52,401.4,女
8,1,72,69,35,30.1,14,36,24,24,33,56,393.1,女
82,2,75.5,47,34.5,37.8,18,39.5,30.5,20.5,37.5,48,388.8,女
60,1,72.5,40,71,26.6,11,37.5,36,17.5,27,48,387.1,女
152,3,72,43,41.5,22.4,15.5,35,39.5,24,41,48,381.9,女
577,10,72.5,44,51.5,18.9,11.5,38.5,31,19.5,38,56,381.4,男
517,9,58,67,32.5,24.5,19.25,24.5,37,26.5,43.5,48,380.75,女
353,6,66.5,66,16.5,32.9,24.25,24.5,32.5,27.5,38,48,376.65,男
138,3,76.5,36,57.5,14.7,12,32,30.5,25.5,38.5,48,371.2,男
632,10,80.5,41,45,36.4,13.25,32,28,17,26,52,371.15,女
522,9,71,40,49,18.2,12.5,33.5,34,17.5,39,56,370.7,女
215,4,74,59,18.5,23.1,24,35,33.5,14.5,37.5,48,367.1,男
81,2,80.5,51,32,29.4,14.25,25.5,29.5,19.5,34.5,48,364.15,女
337,6,62,75,28,20.3,10.25,29,32.5,14,32.5,56,359.55,女
98,2,65,46,49.5,28.7,12.5,32,21,21,23.5,56,355.2,男
154,3,66.5,57,41,21.7,17,26.5,25.5,16,31.5,52,354.7,女
252,4,73,52,37.5,12.6,11,30,27.5,20,25.5,48,337.1,男
608,10,76.5,45,38.5,21.7,14.25,31.5,29,13,18.5,48,335.95,女
305,5,67.5,47,46,13.3,8.75,31.5,25,17,26,52,334.05,女
344,6,70.5,36,15,21.7,14,29,34.5,23,35.5,48,327.2,男
551,9,66,18,33.5,14,14,30,47,19,34.5,48,324,女
213,4,61,26,29,24.5,11.25,33.5,35.5,15.5,35,48,319.25,女
385,7,47.5,36,40.5,8.4,8.25,25.5,36,24,39.5,48,313.65,女
279,5,47.5,42,25,23.8,16.5,21.5,24,18.5,38.5,56,313.3,男
143,3,55,32,19,23.8,19.5,26.5,21.5,21.5,39.5,48,306.3,男
227,4,41.5,41,28.5,21,22.5,31,14,25,24.5,56,305,男
508,8,66.5,29,25,9.8,11.25,32,27,15,36,48,299.55,女
208,4,65.5,18,32.5,13.3,10,23.5,24.5,28.5,31,48,294.8,女
539,9,49,24,25,22.4,22,24.5,16.5,18,30,56,287.4,女
169,3,74,10,23.5,7,14.5,28.5,26,29,24.5,48,285,女
171,3,68.5,20,22.5,14.7,8,24,29,26.5,15.5,52,280.7,男
339,6,54,34,25.5,13.3,14.5,26,27,18,19.5,48,279.8,女
395,7,63.5,19,24.5,13.3,15.25,30.5,20,15.5,25,48,274.55,男
45,1,67,10,32.5,17.5,9.5,22.5,25,10,30,48,272,男
388,7,56.5,3,33.5,11.2,16.25,21.5,15,17,36,48,257.95,男
288,5,46,35,18.5,17.5,9.5,24,20.5,9.5,24,48,252.5,女
509,8,64,20,23,14.7,12,24,17,11,16,48,249.7,女
244,4,26.5,35,15.5,9.8,8.25,31.5,21.5,8.5,26,48,230.55,男
335,6,29,18,18,10.5,17.25,17,20.5,15.5,27.5,52,225.25,女
131,3,48.5,22,18.5,10.5,12.25,15,17.5,13,10.5,48,215.75,女
25,1,36,9,30,21.7,11.5,23.5,15,8,11.5,48,214.2,女
