num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe,total,gender
558,9,89,108,109.5,63,47,49,47,40.5,46.5,52,651.5,男
120,2,82.5,119,108,63.7,39.75,46,47,44.5,48.5,52,650.95,女
141,3,87,112,102.5,65.8,46.5,45,44,44,44,60,650.8,男
409,7,89,114,104.5,62.3,43.25,43.5,47,43,48,56,650.55,女
429,7,96.5,110,98,68.6,43.25,45.5,45.5,43.5,47.5,52,650.35,男
206,4,82.5,119,93.5,67.9,44,45.5,45,43.5,49,60,649.9,男
42,1,85,105,110,67.9,43.25,47.5,47,45,47,52,649.65,男
16,1,87.5,117,104.5,64.4,41.25,46,46,40.5,46.5,56,649.65,男
84,2,95.5,101,108.5,62.3,42.25,46.5,49,46.5,46,52,649.55,男
451,8,86.5,115,104.5,69.3,43.25,41.5,44,41.5,47.5,56,649.05,男
392,7,80,120,106,67.9,42,41.5,46,39.5,45.5,60,648.4,女
645,4,96,112,109,59.5,40.75,40,45,38,48,60,648.25,女
366,6,95,114,101.5,58.8,43.75,49,44.5,44,44.5,52,647.05,男
589,10,72.5,117,108,63.7,46.75,38,48,46,47,60,646.95,女
223,4,87,115,103.5,66.5,38.75,47,44.5,41.5,47,56,646.75,女
205,4,94,120,97,59.5,40.75,42.5,44.5,41.5,46.5,60,646.25,女
570,9,86.5,120,96,65.8,47.25,45,47,41.5,49,48,646.05,女
593,10,92.5,111,95,69.3,45.25,43.5,47.5,43.5,46,52,645.55,女
628,10,94,113,94.4,62.3,38.25,45,49,46.5,46.5,56,644.95,女
233,4,102.5,110,96,60.9,42,49,44,43.5,49,48,644.9,女
368,6,88.5,103,110,62.3,42.5,43.5,46,43,45.5,60,644.3,男
307,5,85.5,112,96.5,69.3,46.5,49,45.5,43,45,52,644.3,女
561,9,81,111,107.5,63.7,39.75,46,44.5,43.5,47,60,643.95,女
534,9,90.5,108,104,63.7,48.25,45.5,45.5,40,46.5,52,643.95,男
67,2,78,117,106,61.6,43.25,45,45,44.5,47.5,56,643.85,男
658,5,89.5,100,103.5,67.9,44.75,44.5,46.5,44,47,56,643.65,女
239,4,86,115,101,63.7,40.25,44,48.5,38,47,60,643.45,女
389,7,81,118,99.5,66.5,40.25,45.5,47,41,48.5,56,643.25,男
226,4,90.5,112,100.5,67.2,45.5,46,45,38.5,46,52,643.2,女
562,9,98.5,102,106,65.1,42,45.5,45.5,40.5,46,52,643.1,男
528,9,87.5,120,96.5,58.8,44.75,45,43.5,40.5,46.5,60,643.05,男
569,9,89,113,102.5,64.4,43.5,43,44.5,41,46,56,642.9,男
49,1,88.5,95,110,68.6,43.75,46,47.5,46.5,49,48,642.85,男
501,8,88.5,114,105.5,58.8,42,46.5,42,43,46.5,56,642.8,女
